Data type,Name,Channel Type,Rx Frequency,Tx Frequency,Color Code,Timeslot,Contact,Contact Type, Contact Id,Rx Group,Scanlist,Zone,RX CTCSS,TX CTCSS,Power,Bandwidth,Rx Only,Squelch,Tx Admit,TOT,TOT Rekey,Tx Signaling,Rx Signaling,Privacy Group,Emergency System,Flags1,Flags2,Flags3,Flags4,RssiThreshold,VoiceEmphasis,TxSignaling,UnmuteRule,RxSignaling
CH_DATA,Tyngsboro PD,Analog,484.87500,484.87500,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Wakefield PD,Analog,471.78800,471.78800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Watertown PD,Analog,470.71300,470.71300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Wayland PD,Analog,484.43800,484.43800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Westford PD,Analog,483.12500,483.12500,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Weston PD,Analog,472.23800,472.23800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,203.5,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Wilmington PD,Analog,482.31300,482.31300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Winchester PD,Analog,471.36300,471.36300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Woburn PD,Analog,471.65000,471.65000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,BARC DMR ALL,Digital,449.17500,444.17500,1,1,N/A,0,N/A,All Groups,BOS DMR 1,BOS DMR,None,None,High,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,129,-80,0,0,0,0,22
CH_DATA,Radio Check,Analog,157.35000,161.95000,0,1,N/A,0,N/A,None,MARINE,BOS MARINE,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Emergency,Analog,156.80000,156.80000,0,1,N/A,0,N/A,None,MARINE,BOS MARINE,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Calling 09,Analog,156.45000,156.45000,0,1,N/A,0,N/A,None,MARINE,BOS MARINE,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
